task_seed,split_seed,condition,train_loss_init,val_loss_init,train_loss,val_loss,train_improvement,val_improvement,improvement_gap,abs_improvement_gap,gap,abs_gap,drift,v_tr,v_val,meta_seed,beta_drift,beta_var
294508,702908,reptile,0.4489339317027901,0.5540526683892651,0.4097205983729363,0.5462171788107156,0.0392133333298538,0.0078354895785495,0.0313778437513043,0.0313778437513043,0.1364965804377793,0.1364965804377793,0.279832626370171,0.0267861245908713,0.0245475766632393,1,0.0,0.0
790429,150793,reptile,0.5718819362041395,0.4553858834011047,0.5417025498164427,0.4411425029681153,0.0301793863876967,0.0142433804329893,0.0159360059547074,0.0159360059547074,-0.1005600468483274,0.1005600468483274,0.2455702635288087,0.0329753887684977,0.0257259178501612,1,0.0,0.0
907568,91981,reptile,0.534244832076235,0.4613322121591904,0.5021726823062608,0.4455585132411598,0.0320721497699741,0.0157736989180306,0.0162984508519435,0.0162984508519435,-0.0566141690651009,0.0566141690651009,0.2529056563079371,0.0336215229591998,0.0332869041232349,1,0.0,0.0
992075,903876,reptile,0.4938325976977525,0.4609502691186388,0.4611222187901139,0.4432574424922995,0.0327103789076385,0.0176928266263392,0.0150175522812993,0.0150175522812993,-0.0178647762978144,0.0178647762978144,0.2552934184860629,0.0299184664574257,0.0251350609977092,1,0.0,0.0
847592,426842,reptile,0.5224354694254998,0.4522833569041474,0.4785132522759925,0.4398470513151906,0.0439222171495072,0.0124363055889568,0.0314859115605504,0.0314859115605504,-0.0386662009608019,0.0386662009608019,0.2963941145615353,0.0215050319305807,0.0325868285288535,1,0.0,0.0
958981,66949,reptile,0.5745158135291053,0.4230145863501959,0.5346833505808191,0.4160071938278065,0.0398324629482862,0.0070073925223894,0.0328250704258968,0.0328250704258968,-0.1186761567530125,0.1186761567530125,0.2823058184431773,0.0296828800114641,0.0230348999887835,1,0.0,0.0
254382,91509,reptile,0.5126142626365281,0.506495446344275,0.493020655501141,0.5058242369820033,0.0195936071353871,0.0006712093622717,0.0189223977731153,0.0189223977731153,0.0128035814808623,0.0128035814808623,0.1980414467706112,0.0287731559562955,0.0386954593382017,1,0.0,0.0
878927,752563,reptile,0.5463274033999957,0.4844202611276987,0.4970719405803269,0.4725112029971728,0.0492554628196688,0.0119090581305258,0.037346404689143,0.037346404689143,-0.024560737583154,0.024560737583154,0.3140473584305692,0.0284176347380638,0.0246633945592264,1,0.0,0.0
841001,846326,reptile,0.4668607118221959,0.5479041654014207,0.4289248017905999,0.5263091796510622,0.037935910031596,0.0215949857503585,0.0163409242812374,0.0163409242812374,0.0973843778604622,0.0973843778604622,0.275302580746695,0.0293318251503485,0.0238387578247736,1,0.0,0.0
664645,652885,reptile,0.5271180593549083,0.4929027091587643,0.4973313221758842,0.4833247072395589,0.029786737179024,0.0095780019192053,0.0202087352598186,0.0202087352598186,-0.0140066149363253,0.0140066149363253,0.2439392237132827,0.026913641275642,0.0399799312545511,1,0.0,0.0
