family,ansatz,rho_A_Ival,rho_A_G,rho_A_G_joint
XYZ,linear,0.8068213783403658,-0.47611345522737925,-0.026623043556241868
XYZ,ring,0.8863572433192686,-0.17313642756680733,0.07605123966961296
TFIM,linear,0.49200656352555094,-0.1426160337552743,0.12473272701653111
TFIM,ring,0.7663384903891234,-0.46643225503985003,0.07120431454989808
randPauli,linear,0.7779653070792312,-0.45529770276605724,-0.032991753275488256
randPauli,ring,0.9078762306610408,-0.08061415846225974,-0.16994530555191353
