task,norm_gtr,norm_gval,align,IP,Ltr0,LtrK,Lval0,LvalK,I_tr,I_val,G,drift,seed,L,n
43,0.2262977398572548,0.2630972783990563,0.5784894408427563,0.0344422891356211,0.28451723664055656,0.021401663949270514,0.32306330663077165,0.05982635417435621,0.26311557269128605,0.26323695245641543,0.0384246902250857,1.1271669176890977,0,3,6
44,0.14945429855483916,0.3980154452242864,0.4189395551431236,0.024920669366899746,0.17341597091381505,-0.029309111311796324,-0.06993849393572535,-0.2827879635087809,0.20272508222561136,0.21284946957305553,-0.25347885219698457,0.9700781291038744,0,3,6
45,0.21432808668463812,0.32787467377152485,-0.1829349345181464,-0.012855341194391908,0.10755107232831888,-0.15488945498730353,0.12284266764960433,0.18543382686957455,0.2624405273156224,-0.06259115921997022,0.3403232818568781,1.112887541021503,0,3,6
46,0.1769685176477912,0.2432238605127376,-0.19053128048152485,-0.008201031437517443,0.37875606622310143,0.10243315881591611,-0.15983696476088785,-0.11346711225475739,0.27632290740718535,-0.04636985250613046,-0.2159002710706735,1.1248079190234304,0,3,6
47,0.25842813536719855,0.09871644702761873,-0.0902161552370924,-0.002301514019642588,0.09215098609594233,-0.30187195035533076,0.40730773480310145,0.3917066239049925,0.39402293645127306,0.01560111089810895,0.6935785742603233,1.3611235482991109,0,3,6
48,0.27867834941911684,0.13788983891577605,0.16216653894918576,0.006231559436799348,0.17957780986184654,-0.15160918021337397,0.05467139608937176,0.05557059061716502,0.3311869900752205,-0.0008991945277932595,0.20717977083053898,1.2521124756320594,0,3,6
49,0.17270764499568075,0.34257271542167833,0.7623764908949449,0.04510594936951879,-0.10470584970877388,-0.19861755746083185,0.2086049597592531,0.07276303072355952,0.09391170775205797,0.1358419290356936,0.27138058818439137,0.661696244895711,0,3,6
0,0.16285846551145616,0.25111340768124896,-0.6642707025437534,-0.027165977614365223,-0.16349133888126843,-0.33890813849823076,0.29866675945863813,0.3090876623185011,0.17541679961696233,-0.010420902859862968,0.6479958008167319,0.9079667844933227,1,3,6
1,0.12535996229127788,0.2756578975361882,0.8072898579585907,0.02789708262383353,0.19901179215217446,-0.008176992490931397,0.02606646548429506,-0.07540805253459229,0.20718878464310586,0.10147451801888735,-0.06723106004366089,0.9634143997651372,1,3,6
2,0.2640377872618664,0.2049202164172352,0.15921473655170337,0.008614580882773112,-0.046349147978398716,-0.29114689949692035,-0.4651323590658185,-0.3542276339159887,0.24479775151852162,-0.1109047251498298,-0.06308073441906836,1.0804882738400776,1,3,6
3,0.20550016091394763,0.19567392930591793,0.5017961552633353,0.02017773722184339,-0.1774136738823522,-0.3448777383542102,0.23715732608530157,0.07559230030684386,0.167464064471858,0.16156502577845772,0.42047003866105404,0.908146936683274,1,3,6
4,0.3060444799126454,0.18096100672474116,0.32149532510457374,0.01780509177018846,0.1733482347316236,-0.10247734294216784,0.10888884355512328,-0.14871542245787697,0.27582557767379146,0.25760426601300024,-0.04623807951570913,1.129662162568814,1,3,6
5,0.12286493854464024,0.25926956052337197,0.7051967616837259,0.02246414059795122,-0.10183518724712434,-0.19569949713002,0.31621595931199503,0.1838273312411025,0.09386430988289565,0.13238862807089252,0.3795268283711225,0.664624751982434,1,3,6
6,0.16736075311180468,0.4290799809049646,-0.8861387128378335,-0.06363463892024705,-0.021388402805131827,-0.2079055178831786,-0.08475975915173453,0.18158726717819465,0.18651711507804677,-0.2663470263299292,0.38949278506137325,0.9467212730804,1,3,6
7,0.31043036229424875,0.14191898480585588,0.5790561434553281,0.025510875376491472,-0.2857869868122555,-0.5589807094989356,0.019431158082915304,0.16057104914670706,0.27319372268668013,-0.14113989106379177,0.7195517586456427,1.1075414707113853,1,3,6
8,0.122555835866872,0.41750542975515514,0.3370273791174193,0.017244924900119914,0.03547639886783469,-0.18722171978114588,-0.21782630375498033,-0.27016234970573305,0.22269811864898056,0.052336045950752724,-0.08294062992458717,0.9971223611357424,1,3,6
9,0.2441862331546384,0.2653490873996643,0.4384628585067578,0.0284100229550193,0.22653236046138644,-0.03952474660625211,-0.09659897719744676,-0.1284941500366751,0.2660571070676386,0.03189517283922835,-0.088969403430423,1.1241917562899695,1,3,6
10,0.1601605435809724,0.21781992585223206,-0.7054795315970166,-0.024611470212647438,0.11476719074243942,-0.11629218253922469,0.31830939446166223,0.40726980062359774,0.2310593732816641,-0.08896040616193551,0.5235619831628224,1.019457689537613,1,3,6
11,0.1850972627716905,0.26993523985601814,0.15927650344659186,0.007958134863625833,0.0014202124750400062,-0.22227690838787256,0.159576366669614,-0.059125786495518584,0.22369712086291257,0.21870215316513258,0.16315112189235398,1.0394268944496243,1,3,6
12,0.14295325207824766,0.34198341434724355,-0.9263746187749421,-0.04528827001443729,-0.09807257793073298,-0.3082628077623161,-0.26419856478951964,0.03388379842401799,0.21019022983158314,-0.29808236321353765,0.34214660618633413,0.9886571927052279,1,3,6
