n,L,task,norm_gtr,norm_gval,align,gtr1,Ltr0,LtrK,Lval0,LvalK,I_tr,I_val,I_val_K1,G,drift,seed
4,2,0,0.48910372497140264,0.41491396126760804,-0.5055133056238938,-0.04946128018632607,-0.00018183826802968366,-0.3494546539706409,0.3806729126978222,0.5900873718983577,0.3492728157026112,-0.20941445920053547,-0.054454663384595314,0.9395420258689986,1.1176867460472806,0
4,2,1,0.4097660984810796,0.5357102466163586,0.07277606750887188,-0.01221871848282478,-0.02902235458393069,-0.4451176744990055,-0.3033657481783971,-0.025726795800994427,0.4160953199150748,-0.2776389523774027,-0.0008512901364343683,0.4193908786980111,1.3473178991783659,0
4,2,2,0.39996139173637524,0.6711010036519706,0.5369130314719324,-0.033828704006682364,0.04106861819536606,-0.5011407129503191,0.32417031205549507,-0.11445816770941308,0.5422093311456853,0.43862847976490815,0.0761126646869299,0.38668254524090606,1.5373420178086312,0
4,2,3,0.41439031824618955,0.395206977456025,-0.005527720514762612,-0.018146318621021132,-0.06244816237875861,-0.5252562729294291,0.13182029656223937,0.07921286626208926,0.4628081105506705,0.05260743030015011,0.006432474737402966,0.6044691391915183,1.4170912573976642,0
4,2,4,0.5035100338967093,0.5944779363893223,0.6104075912136391,0.09120186988357572,-0.19918976491742652,-0.5649135766216999,0.4822866629987541,-0.051190320844666286,0.3657238117042734,0.5334769838434203,0.1123612101340995,0.5137232557770337,1.1760642382421465,0
4,2,5,0.28784536332143784,0.42829811886656177,0.07287871516102655,-0.05265590680333794,0.5342714366849866,-0.13857928665970404,-0.3873254967492308,-0.2574811285763253,0.6728507233446905,-0.12984436817290546,0.0030325984317546295,-0.11890184191662129,1.7681467815420757,0
4,2,6,0.4031192920460287,0.4380688290446329,0.01699126215916813,-0.009024456396813749,-0.43408578961991096,-0.6196138575943966,0.3942958660013204,0.44360560803195126,0.18552806797448562,-0.049309742030630876,-0.0009309186881324427,1.0632194656263478,0.8030833059584294,0
4,2,7,0.4223782351927532,0.7768934498953248,0.3149143331515024,0.01547890623725963,-0.2281395002400976,-0.6092237382880891,-0.28129561232318406,-0.1026997759690593,0.38108423804799146,-0.17859583635412477,0.042287141057421374,0.5065239623190297,1.2440466136477073,0
4,2,8,0.20331075861900935,0.4145151257461772,-0.3192631967669293,0.030209870346975164,-0.018503223036870894,-0.19657767282480887,-0.28847675706605735,-0.2431660924775589,0.17807444978793796,-0.045310664588498445,-0.014674829482365648,-0.04658841965275004,0.9216013714522591,0
4,2,9,0.24679868191798945,0.3327893429083859,0.5585762686374905,0.05609359421154908,0.22522237798061456,-0.0796956902758806,-0.183477836893224,-0.2747138596775754,0.30491806825649515,0.09123602278435139,0.02250337076762826,-0.1950181694016948,1.1841666835649445,0
4,2,10,0.22471568261263192,0.3047016279104496,-0.25197675719500484,0.024839984756529616,0.04822063443880394,-0.2440230099511352,0.006931588463774702,0.16471616246037812,0.29224364438993916,-0.15778457399660342,-0.009165395910041285,0.40873917241151336,1.1738621857406646,0
4,2,11,0.3121141879258953,0.3424866982204061,0.2328191544872735,-0.10276468181818237,0.1072064363159455,-0.36838319411102194,-0.2657758290230507,-0.16941341800448517,0.47558963042696745,-0.09636241101856552,0.010756797553257924,0.19896977610653677,1.4725879517414953,0
4,2,12,0.44347344925637167,0.4796742327313718,0.23344511767067355,-0.08239808192535109,0.09485902979273017,-0.5132704371649307,0.01249469475316985,-0.19640024553863494,0.6081294669576609,0.2088949402918048,0.025664804176816512,0.31687019162629576,1.5848909371334456,0
4,2,13,0.2707664260593493,0.647602762093527,-0.5597865060559697,0.07234041172775835,0.002952051264986544,-0.20657597141851672,0.09033796347541817,0.17852269600360027,0.20952802268350326,-0.0881847325281821,-0.04905693437143405,0.38509866742211696,0.9610539129158804,0
4,2,14,0.2279180174334458,0.3497953703931341,0.6522134574245954,-0.07439545571183104,-0.0755739375790802,-0.3189797808308583,0.3368476089929033,0.0653656208409116,0.2434058432517781,0.27148198815199165,0.026592698278425198,0.3843454016717699,1.0844986442037652,0
