condition,drift_mean,drift_std,Lval_mean,Lval_std,G_mean
reptile,0.23087950987983732,0.03929554429969397,0.5060106972696478,0.06359361617153064,0.009935477900549002
drift_light,0.18983961500435034,0.03443709207129933,0.5201254501910049,0.06304991339040074,0.007602938437130631
variance_light,0.22726459154522008,0.04256203776548059,0.5114207489639909,0.0708944947623181,0.009017236841100567
full_bqml_light,0.18360418472422707,0.036164684401558754,0.5253594080858882,0.06878660977527733,0.0066492287691484265
full_bqml_strong,0.0856588421607854,0.018565876564552383,0.55686397647468,0.06756910860167781,0.0007677789999456027
