n,split,rho_A_Ival,rho_A_G,rho_A_G_joint
4,uniform,0.34737458977965313,-0.512892639474918,-0.2854481664361359
4,stratified,0.500492264416315,-0.40058602906704177,0.10200684869823898
6,uniform,0.8068213783403658,-0.47611345522737925,-0.026623043556241868
6,stratified,0.7159399906235349,-0.5255039849976559,-0.05241271091364531
8,uniform,0.7566807313642757,-0.2564697609001407,0.04381348787654993
8,stratified,0.8627285513361463,-0.2686357243319269,-0.006370429850189585
